,Address,Title,Country Name,Description,Tags,Profile Link
10,7-NETWORK PTE LTD,"Stand No- H1-A52, Hall No- Hall 1",Singapore,"7-Network, founded in 1993, is a tech company based in Singapore focusing on digital transformation. Our flagship software platform is JET Workflow.",Software Services - AgriTech & FoodTech - Big Data & Analytics - Cloud Services - Coding and Development - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MjU3NA==
11,A3D POWERED BY CRONOS WALLONIA,"Stand No- H1-C1.9, Hall No- Hall 1",Belgium,Archited.io—an all-in-one platform for architects offers tens of thousands of 3D print-ready models in one simple subscription., - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzU4Mw==
12,AARK TECHNOLOGY FZCO,"Stand No- H11-O30, Hall No- Hall 11",United Arab Emirates,Wholesalers and resellers based in the Freezone in Dubai having offices and warehouses in India and HK.,"Mobile Accessories & Peripherals - Unmanned Aerial Vehicles (Drones) - Gaming - Media, Marketing & Advertising Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTY3Mw==
13,AAYAN TRADING FZE,"Stand No- H11-A61, Hall No- Hall 11",United Arab Emirates,"Mobile Phones, Gaming Consoles, & Electronics Wholesaler.",Mobile Accessories & Peripherals - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTY3Mg==
14,AB HANDSHAKE,"Stand No- H6-7, Hall No- Hall 6",United States of America,"AB Handshake is a leading fraud prevention company in the telecom industry. Expert-made, industry-trusted, and honored by multiple awards.",5G & Telecommunications - Artificial Intelligence - Cyber security - Internet of Things (IOT) - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NjI0
15,ABACUS CONSULTING TECHNOLOGY LTD.,"Stand No- CC1-60-19, Hall No- Concourse 1",Pakistan,"ABACUS is an international professional services firm based out of Pakistan, providing world class technology, outsourcing and consulting solutions.",Software Services - Artificial Intelligence - Big Data & Analytics - Cloud Services - Fintech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MjkxMQ==
16,ABBYY,"Stand No- H3-B42, Hall No- Hall 3",United Arab Emirates,ABBYY powers intelligent automation. We reimagine the way people work and how companies accelerate business.,Retail Tech - Artificial Intelligence - Big Data & Analytics - Coding and Development - Fintech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/OTcx
17,ABCOM DISTRIBUTION LLC,"Stand No- H4-D2, Hall No- Hall 4",United Arab Emirates,Pioneering the Technology Industry - PRO AV Distributor, - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDAyOA==
18,ABOVE AND BEYOND TIMES ADVERTISING LLC,"Stand No- H14-F41, Hall No- Hall 14",United Arab Emirates,WE ARE THE FIRST ONLINE SOCIAL MARKETPLACE PLATFORM BUILT TO ACCELERATES BUSINESS PERFORMANCE THROUGH SOCIAL MEDIA USER ENGAGEMENT & LOTALITY MODELS,Ecommerce - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDk0Nw==
19,ABSYZ SOFTWARE CONSULTING DMCC,"Stand No- H8-50, Hall No- Hall 8",India,"ABSYZ Software is a Salesforce Consulting Partner with 450+ experts, ensuring top-notch digital cloud solutions globally. With CMMI Level 3 certified.",Retail Tech - Software Services - Sustainability & Green Tech - Artificial Intelligence - Cloud Services - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NjYz
20,ABU DHABI GOVERNMENT,"Stand No- H19-B20, Hall No- Hall 19",United Arab Emirates,"We enable growth through partnerships and programming, support our partners with digital strategies and tools,and deliver innovative digital services",Smart Cities - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDA0
21,ACAPELA GROUP S.A.,"Stand No- H1-C1.8, Hall No- Hall 1",Belgium,"Acapela is the leader of voice solutions with 30 years of expertise. We aim to create digital voices, based on Neural text to speech","Retail Tech - Smart Cities - Artificial Intelligence - Future Mobility & Transportation - Media, Marketing & Advertising Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/Mjg4Mw==
22,ACCEDIAN NETWORKS INC.,"Stand No- H20-D05, Hall No- Hall 20",United Kingdom,"Accedian is the leader in performance analytics, cybersecurity threat detection, and end user experience solutions.",5G & Telecommunications - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NTEzMg==
23,ACCELERATION,"Stand No- H4A-A10, Hall No- Hall 4A",Russian Federation,ACCELERATION - engineering and consulting company specializing in the management and digital monitoring of construction sites industrial enterprises.,Artificial Intelligence - Big Data & Analytics - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/Mzk3Mw==
24,ACCENT GULF COMPUTERS LLC,"Stand No- H9-13, Hall No- Hall 9",United Arab Emirates,"Accent Gulf Computers is one of Dubai's leading exporters of major brands of Laptops, Desktops, LED's, Copiers, ink & toners.","Networking & Infrastructure - Consumer Tech, Smart Home & Smart Workplace - Data Centres - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NjYy
25,ACCENT INFOMEDIA MEA FZ-LLC,"Stand No- CC1-6, Hall No- Concourse 1",United Arab Emirates,"Accent Info Tech Media, is a leading Media house, specialized in IT and Telecom events-led marketing and communications services.",Big Data & Analytics - Cloud Services - Energy Tech - Fintech - Future Mobility & Transportation - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NzUz
26,ACCORD BUSINESS GROUP,"Stand No- H6-A10, Hall No- Hall 6",United Arab Emirates,Leading ICT provider covering solution within 3 main areas - Compliance - Financial Fraud & Advanced Data and Analytics covering the MEAA region, - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzQ1Nw==
27,ACENTRIK,"Stand No- H10-15, Hall No- Hall 10",Singapore,"Acentrik, a strategic product by Mercedes-Benz, is a multi-award winning technology provider for development of whitelabel data exchange solutions.",PropTech - Smart Cities - Big Data & Analytics - Blockchain - HealthTech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTMyNg==
28,ACER SALES INTERNATIONAL SA,"Stand No- H15-120, Hall No- Hall 15",United Arab Emirates,"Founded in 1976, Acer is one of the world's top ICT companies with a mission to create solutions to break barriers between people and technology.","Sustainability & Green Tech - Consumer Tech, Smart Home & Smart Workplace - Education Tech - Future Mobility & Transportation - Gaming - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTA5Mw==
29,ACHIEVER COMPUTERS LTD,"Stand No- H2-E10, Hall No- Hall 2",United Arab Emirates,"One of the largest stockist and channel distributors of major IT products in the Middle East, with a presence of over 31 years in the IT industry.","Consumer Tech, Smart Home & Smart Workplace - Ecommerce - Gaming - HealthTech - Metaverse, Immersive Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/OTYw
30,ACMETEL,"Stand No- H25-15, Hall No- Hall 25",Pakistan,"Empowering Seamless Communication by providing cutting-edge solutions for Voice, SMS, Firewall, FMS, MNP & DID.",Networking & Infrastructure - 5G & Telecommunications - Cyber security - Data Centres - Fintech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NzA0
31,ACRONIS,"Stand No- H25-C50, Hall No- Hall 25",Turkmenistan,"Acronis is a Swiss company, founded in Singapore, unifies data protection and cybersecurity to globally deliver integrated, automated cyber protection", - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTEwOQ==
32,ACTILITY,"Stand No- CC1-28, Hall No- Concourse 1",France,Actility is the world leader in low-power wide-area networks (LPWAN) industrial-grade connectivity solutions for the Internet of Things.,Cloud Services - HealthTech - Internet of Things (IOT) - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/Njg3
33,ACTION LOGISTICS FZE,"Stand No- H11-O23, Hall No- Hall 11",United Arab Emirates,"Reliable, professional, logistics and freight forwarding partner.","Mobile Accessories & Peripherals - Consumer Tech, Smart Home & Smart Workplace - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTYyOA==
34,ACTRONIKA,"Stand No- H1-A1, Hall No- Hall 1",France,Actronika develops patented haptic technology that can recreate the sense of touch in any HMI solution.,"Retail Tech - Smart Cities - Gaming - Media, Marketing & Advertising Tech - Metaverse, Immersive Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDMwNg==
35,ACTUAL I.T. INFORMATION TECHNOLOGY,"Stand No- H4A-05, Hall No- Hall 4A",Slovenia,ACTUAL Group offers comprehensive IT solutions that support business processes.,Networking & Infrastructure - 5G & Telecommunications - Cloud Services - Cyber security - Data Centres - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NTE0MQ==
36,ADAPTIVE RECOGNITION,"Stand No- H1-D40, Hall No- Hall 1",Hungary,"Adaptive Recognition (formerly ARH) pioneers AI-driven solutions in OCR technology, specializing in software and hardware for traffic management.", - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTcyOQ==
37,ADASTRA,"Stand No- H7-D1-MS28, Hall No- Hall 7",Canada,Our data and AI expertise helps business and IT leaders provide trusted insights to every team member—so they can make better decisions every day., - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDM5Ng==
38,ADDD,"Stand No- H23-D51, Hall No- Hall 23","Korea, Republic Of",ADDD is an AI-based O2O digital marketing platform service that analyzes and provides outdoor advertising effectiveness data.,5G & Telecommunications - Artificial Intelligence - Big Data & Analytics - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTcxNA==
39,ADISHWAR TELENETWORKS PVT LTD,"Stand No- H23-A10.12, Hall No- Hall 23",India,Adishwar Tele-networks Pvt Ltd is a pioneer in manufacturing of Telecom infrastructure equipment and accessories in India for clients across the Globe,Networking & Infrastructure - Smart Cities - 5G & Telecommunications - Data Centres - Energy Tech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDM3Mg==
40,ADOBE,"Stand No- H7-D1-MS4, Hall No- Hall 7",United Kingdom,Supercharge digital experiences with an end-to-end suite of digital marketing tools built on the only platform designed for personalization at scale.,"Software Services - Artificial Intelligence - Big Data & Analytics - Ecommerce - Media, Marketing & Advertising Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NTU1NQ==
41,ADOPT NET TECH,"Stand No- H23-A10.20, Hall No- Hall 23",India,"At Adopt NetTech we are creating Next Gen Network Solutions that are designed, created and manufactured in India for the global Market.",5G & Telecommunications - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDM3MQ==
42,ADP,"Stand No- H14-B35, Hall No- Hall 14",United Arab Emirates,ADP is the world leading global payroll provider of cloud-based human capital management (HCM) solutions,Retail Tech - Software Services - Cloud Services - Cyber security - Education Tech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzMxNQ==
43,ADRI W.L.L,"Stand No- H20-A10, Hall No- Hall 20",Bahrain,"Arabic Digital Research Institute (ADRI) is an international academic firm, striving to improve the digitization of Arabic content.",Education Tech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NTE5OA==
44,ADS SECURITY DEVICES TRADING LLC,"Stand No- CC1-90, Hall No- Concourse 1",United Arab Emirates,ADS Security Devices Trading LLC is a part of IPTEC Group which has over 30 years of experience in CCTV distribution.,Retail Tech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTEwMQ==
45,ADTRAN,"Stand No- H2-A46, Hall No- Hall 2",Germany,Adtran has the industry’s most comprehensive toolbox empowering operators to build converged infrastructure from customer premises to the metro core.,Networking & Infrastructure - 5G & Telecommunications - Cloud Services - Cyber security - Data Centres - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTg3Mg==
46,ADVALANGE,"Stand No- H4A-A10, Hall No- Hall 4A",Russian Federation,Advalange has been developing and integrating embedded software and applications for medical devices as well as complex digital healthcare solutions.,Software Services - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDIzMg==
47,ADVANCED BUSINESS SOLUTIONS MENA FZCO,"Stand No- H25-23, Hall No- Hall 25",United Arab Emirates,"Advanced Business Solutions, based in Dubai Silicon Oasis, is an expert IT/Cloud solutions provider and value added distributor in the MENA region.",Cyber security - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTcyOA==
48,ADVANCED ELECTRONICS COMPANY,"Stand No- H19-A30, Hall No- Hall 19",Saudi Arabia,"SAMI-AEC is a national leader in the field of Advanced Electronics, manufacturing capabilities, repair, and maintenance services.","Smart Cities - Consumer Tech, Smart Home & Smart Workplace - Cyber security - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDI1
49,ADVANCED ICT DIGITAL SECURITY COMPANY,"Stand No- H14-J11, Hall No- Hall 14",Saudi Arabia,HAMI is an innovative Cyber Security company specialized in building Reinventing Cybersecurity with Artificial Intelligence.,Cyber security - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDQ2Ng==
50,ADVANCED INTEGRATION,"Stand No- H5-30, Hall No- Hall 5",United Arab Emirates,Advanced Integration supports the development of the AI ecosystem by providing its expertise on AI and accelerated computing.,5G & Telecommunications - Artificial Intelligence - Big Data & Analytics - Cloud Services - Agnostic - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTA5Ng==
51,ADVANCED SOFTWARE DEVELOPMENT,"Stand No- H4A-02, Hall No- Hall 4A",Bangladesh,Advanced Software Development is a global Product Engineering & Enterprise Solutions company with a strong background in development & implementation.,"Software Services - Cloud Services - Ecommerce - Fintech - Media, Marketing & Advertising Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MjgyMg==
52,ADVANCED TECHNOLOGY RESEARCH COUNCIL,"Stand No- H17-B10, Hall No- Hall 17",United Arab Emirates,The Advanced Technology Research Council (ATRC) is the overarching advanced technology research body in Abu Dhabi and the UAE., - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDY0
53,ADVANTAL TECHNOLOGIES PVT. LTD.,"Stand No- H13-A30-8, Hall No- Hall 13",India,Advantal Technologies is a custom software development company empowering clients worldwide by converting their business vision into digital wonders.,Software Services - 5G & Telecommunications - Coding and Development - Ecommerce - Fintech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzU0MA==
54,ADVENTUM TECH,"Stand No- H1-C60.11, Hall No- Hall 1",Latvia,"Adventum Tech is a Latvian based company, that focuses on development and production of hardware and software for applications within construction.", - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzYyNA==
55,AEINNOVA,"Stand No- H1-A1, Hall No- Hall 1",Spain,Advanced Self-Powered Industrial IoT devices for a more Sustainable Industry 4.0,Energy Tech - Internet of Things (IOT) - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDI1Mw==
56,AEON PAYMENT TECHNOLOGIES LIMITED,"Stand No- H13-B40, Hall No- Hall 13",Cyprus,"AEON Payment Technologies is a payment systems solution provider founded and headquartered in Cyprus,",Fintech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTUyMg==
57,AFRICAN PRESS ORGANIZATION LTD.,"Stand No- H18-5, Hall No- Hall 18",Switzerland,Leading pan-African communications consultancy since 2007. Empowering businesses with expert PR and communication services tailored for Africa.,"Artificial Intelligence - Media, Marketing & Advertising Tech - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzQwOA==
58,AFRICOM TECHNOLOGIES PLC,"Stand No- H13-15, Hall No- Hall 13",Ethiopia,"AFRICOM Technologies: Leading IT company in Addis Ababa since 2004, pioneering tech solutions in Africa. Committed to delivery, innovation and growth.",Software Services - Cloud Services - Coding and Development - Ecommerce - Education Tech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzMzMg==
59,AGER RACK CABINET,"Stand No- H21-21, Hall No- Hall 21",Türkiye,AGER is Rack Cabinet manufacturer. Leading the sector with quality production and customer satisfaction principles.,Cyber security - Data Centres - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NTgx
60,"AGI TECHNOLOGY CO., LTD.","Stand No- H13-13, Hall No- Hall 13",Taiwan (R.O.C.),"AGI is a Taiwanese memory products brand. We produce high quality SSDs, memory modules, memory cards, flash drives and others.","Mobile Accessories & Peripherals - Big Data & Analytics - Consumer Tech, Smart Home & Smart Workplace - Data Centres - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTE0MQ==
61,AGILE CLASS SRL,"Stand No- H9-19, Hall No- Hall 9",Italy,We empower companies in the EMEA region to comply with data protection and other regulatory requirements through our innovative software solutions.,Regulatory Technology - Software Services - Big Data & Analytics - Cyber security - Fintech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTA2Mg==
62,AGIRH,"Stand No- H13-A20, Hall No- Hall 13",Morocco,AGIRH is a completely integrated software package for human capital management,Coding and Development - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDI2Mg==
63,AGREEFY FZE,"Stand No- CC1-28, Hall No- Concourse 1",United Arab Emirates,"Agreefy's vision is to democratize RTLS by making it accessible and user-friendly, unlocking its vast potential for businesses of all sizes.", - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NTQyNg==
64,AHAD BUSINESS SERVICES,"Stand No- H14-D30, Hall No- Hall 14",Saudi Arabia,"An end-to-end enabled Business Process Outsourcing, that fully serve your needs aiming to meet the full organizational development and growth needs.",Software Services - Cloud Services - Data Centres - Education Tech - Agnostic - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDk4
65,AIMO,"Stand No- H24-D16, Hall No- Hall 24",China,"AIMO, a professional manufacturer of label printers and marking consumables.","Consumer Tech, Smart Home & Smart Workplace - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTQxMA==
66,AIRLINK COMMUNICATION LIMITED,"Stand No- CC1-60-24, Hall No- Concourse 1",Pakistan,Airlink Communication Limited is one of the largest mobile phone manufacturers and distributors in Pakistan., - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDk3Nw==
67,AIRO LTD.,"Stand No- H1-60, Hall No- Hall 1",Malta,AIRO authors of Netumo a next-generation web monitoring platform built around simplicity and also with AI integration., - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDE4NQ==
68,AIRPRO TECHNOLOGY INDIA PVT LTD,"Stand No- H25-07, Hall No- Hall 25",India,AirPro Technology (I) Pvt Ltd. was established in 2014 by a group of highly motivated individuals having rich experience inproviding networkingProdcut, - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NzA5
69,AIRVALENT,"Stand No- H1-C60.10, Hall No- Hall 1",Latvia,Discover AIRVALENT: a compact and precise air quality monitor with a set of unique and custom designs for a healthier and elegant indoor environment., - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzI0NQ==
70,AITNEWS.COM,"Stand No- H19-4, Hall No- Hall 19",United Arab Emirates,"launched in 2005, AITnews is the ultimate source of tech news in proper Arabic.", - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MzM3Ng==
71,AIXONTEC GMBH,"Stand No- H1-E43, Hall No- Hall 1",Germany,"AIXONTEC GmbH, based in Germany, is a manufacturer with its own cable assembly line for network solutions in the field of Industrial Ethernet.",5G & Telecommunications - Data Centres - Future Mobility & Transportation - HealthTech - Internet of Things (IOT) - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTg3Ng==
72,AIZATRON,"Stand No- H1-D21A, Hall No- Hall 1",South Africa,"Aizatron digitises businesses using AI, data systems & platform enablement. Collect & analyze IoT data for better decision-making & operations.",Smart Cities - AgriTech & FoodTech - Artificial Intelligence - Big Data & Analytics - Cloud Services - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTEzMg==
73,AJLAN & BROS INFORMATION SYSTEMS TECHNOLOGY,"Stand No- CC2-12, Hall No- Concourse 2",Saudi Arabia,Ajlan & Bros Technology offers a wide variety of technical services .,Cloud Services - Cyber security - Future Mobility & Transportation - HealthTech - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NTE4
74,AJM SOFTWARES PRIVATE LIMITED,"Stand No- H9-A26, Hall No- Hall 9",India,"AJM Softwares: Est. 2009, offers IT consulting, software engineering, and tech solutions. 150+ experts, 750+ projects, and 250+ clients.",Software Services - Cloud Services - Coding and Development - Ecommerce - Internet of Things (IOT) - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTkwNw==
75,AJMAN CHAMBER,"Stand No- H18-A10, Hall No- Hall 18",United Arab Emirates,Vision Achieve Global Leadership in Sustaining Growing and Futuristic Business Community.,Artificial Intelligence - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MjUxOQ==
76,AJMAN DEPARTMENT OF FINANCE,"Stand No- H18-A10, Hall No- Hall 18",United Arab Emirates,إدارة وتنمية الموارد المالية بكفاءة من خلال سياسات وتشريعات مالية وأنظمة مبتكرة بكوادر مؤهلة وشراكات فاعلة بما يساهم في تحقي� ..., - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MjUyMA==
77,AJMAN GOVERNMENT,"Stand No- H18-A10, Hall No- Hall 18",United Arab Emirates,"The Ajman digital government facilitates digital transformation through coordination with agencies, leveraging modern tech for societal development.",5G & Telecommunications - Big Data & Analytics - Blockchain - Cloud Services - Coding and Development - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NDEw
78,AJMAN MUNICIPALITY & PLANNING DEPARTMENT,"Stand No- H18-A10, Hall No- Hall 18",United Arab Emirates,Sustainable environment while developing a modern infrastructure in Ajman.,AgriTech & FoodTech - Artificial Intelligence - Big Data & Analytics - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MjUyMg==
79,AJMAN POLICE GENERAL HEADQUARTERS,"Stand No- H18-A10, Hall No- Hall 18",United Arab Emirates,Ajman Police Headquarters is a low enforcement government company based on Ajman City., - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MjUyMw==
80,AJMAN TOURISM DEVELOPMENT DEPARTMENT,"Stand No- H18-A10, Hall No- Hall 18",United Arab Emirates,"The Ajman Tourism Development Department promotes Ajman's attractions, develops tourism, and establishes standards, making it a premier destination.","Consumer Tech, Smart Home & Smart Workplace - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MjUyNQ==
81,AL BOOM MARINE LLC,"Stand No- H12-14, Hall No- Hall 12",United Arab Emirates,"With over 35 years of experience in the GCC, Al Boom Marine is a leading retailer and distributor.","Consumer Tech, Smart Home & Smart Workplace - Future Mobility & Transportation - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/NTk1
82,AL JAMMAZ TECHNOLOGIES,"Stand No- H2-C1, Hall No- Hall 2",Saudi Arabia,AlJammaz Technologies is the leading Value Added Technology Distributor in the GCC and the Middle East.,Networking & Infrastructure - Cloud Services - Cyber security - Data Centres - Internet of Things (IOT) - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/OTMw
83,AL MASAR AL SAREE FZCO,"Stand No- H11-D97, Hall No- Hall 11",United Arab Emirates,"Al Masar Al Saree FZCO is a trading business unit dealing with Apple mobile phones, related accessories.",Mobile Accessories & Peripherals - ,https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTQ3OA==
84,AL THANAYYAN INTERNATIONAL ONE PERSON COMPANY FZCO,"Stand No- H11-M104, Hall No- Hall 11",United Arab Emirates,"Established in the State of Kuwait in 2007 as a Mobile Phones Distributor, Mena powered by the efforts of more than 100 employees in our family.","5G & Telecommunications - Big Data & Analytics - Cloud Services - Consumer Tech, Smart Home & Smart Workplace - Cyber security - ",https://exhibitors.gitex.com/gitex-global-2023/Exhibitor/ExbDetails/MTUxMA==
